2018-06-01 04:06:49,311 [6] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Read Image.
2018-06-01 04:06:49,580 [6] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Result From Image =  


2018-06-01 04:06:50,587 [6] INFO  LOL.AcceptQueue.MonitorService PrintWindow IntPtr = 5113558
2018-06-01 04:06:50,590 [6] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Read Image.
2018-06-01 04:06:50,841 [6] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Result From Image =  


2018-06-01 04:06:51,852 [6] INFO  LOL.AcceptQueue.MonitorService PrintWindow IntPtr = 5113558
2018-06-01 04:06:51,860 [6] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Read Image.
2018-06-01 04:06:52,096 [6] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Result From Image =  


2018-06-01 04:06:53,101 [6] INFO  LOL.AcceptQueue.MonitorService PrintWindow IntPtr = 5113558
2018-06-01 04:06:53,110 [6] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Read Image.
2018-06-01 04:06:53,379 [6] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Result From Image =  


2018-06-01 04:06:54,396 [15] INFO  LOL.AcceptQueue.MonitorService PrintWindow IntPtr = 5113558
2018-06-01 04:06:54,403 [15] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Read Image.
2018-06-01 04:06:54,657 [15] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Result From Image =  


2018-06-01 04:06:55,673 [15] INFO  LOL.AcceptQueue.MonitorService PrintWindow IntPtr = 5113558
2018-06-01 04:06:55,681 [15] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Read Image.
2018-06-01 04:06:55,930 [15] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Result From Image =  


2018-06-01 04:06:56,937 [6] INFO  LOL.AcceptQueue.MonitorService PrintWindow IntPtr = 5113558
2018-06-01 04:06:56,939 [6] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Read Image.
2018-06-01 04:06:57,191 [6] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Result From Image =  


2018-06-01 04:06:58,204 [6] INFO  LOL.AcceptQueue.MonitorService PrintWindow IntPtr = 5113558
2018-06-01 04:06:58,206 [6] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Read Image.
2018-06-01 04:06:58,487 [6] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Result From Image =  


2018-06-01 04:06:59,496 [15] INFO  LOL.AcceptQueue.MonitorService PrintWindow IntPtr = 5113558
2018-06-01 04:06:59,507 [15] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Read Image.
2018-06-01 04:06:59,764 [15] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Result From Image =  


2018-06-01 04:07:00,775 [6] INFO  LOL.AcceptQueue.MonitorService PrintWindow IntPtr = 5113558
2018-06-01 04:07:00,777 [6] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Read Image.
2018-06-01 04:07:01,029 [6] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Result From Image =  


2018-06-01 04:07:02,040 [6] INFO  LOL.AcceptQueue.MonitorService PrintWindow IntPtr = 5113558
2018-06-01 04:07:02,047 [6] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Read Image.
2018-06-01 04:07:02,297 [6] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Result From Image =  


2018-06-01 04:07:03,305 [6] INFO  LOL.AcceptQueue.MonitorService PrintWindow IntPtr = 5113558
2018-06-01 04:07:03,307 [6] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Read Image.
2018-06-01 04:07:03,572 [6] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Result From Image =  


2018-06-01 04:07:04,584 [6] INFO  LOL.AcceptQueue.MonitorService PrintWindow IntPtr = 5113558
2018-06-01 04:07:04,589 [6] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Read Image.
2018-06-01 04:07:04,848 [6] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Result From Image =  


2018-06-01 04:07:05,861 [6] INFO  LOL.AcceptQueue.MonitorService PrintWindow IntPtr = 5113558
2018-06-01 04:07:05,869 [6] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Read Image.
2018-06-01 04:07:06,119 [6] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Result From Image =  


2018-06-01 04:07:07,124 [6] INFO  LOL.AcceptQueue.MonitorService PrintWindow IntPtr = 5113558
2018-06-01 04:07:07,125 [6] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Read Image.
2018-06-01 04:07:33,291 [9] INFO  LOL.AcceptQueue.MonitorService PrintWindow IntPtr = 7997990
2018-06-01 04:07:33,358 [9] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Read Image.
2018-06-01 04:07:35,740 [9] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Result From Image =  


2018-06-01 04:07:36,752 [13] INFO  LOL.AcceptQueue.MonitorService PrintWindow IntPtr = 7997990
2018-06-01 04:07:36,767 [13] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Read Image.
2018-06-01 04:07:37,052 [13] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Result From Image =  


2018-06-01 04:07:38,059 [13] INFO  LOL.AcceptQueue.MonitorService PrintWindow IntPtr = 7997990
2018-06-01 04:07:38,075 [13] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Read Image.
2018-06-01 04:07:38,401 [13] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Result From Image =  


2018-06-01 04:07:39,416 [13] INFO  LOL.AcceptQueue.MonitorService PrintWindow IntPtr = 7997990
2018-06-01 04:07:39,431 [13] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Read Image.
2018-06-01 04:07:39,723 [13] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Result From Image =  


2018-06-01 04:07:40,728 [14] INFO  LOL.AcceptQueue.MonitorService PrintWindow IntPtr = 7997990
2018-06-01 04:07:40,745 [14] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Read Image.
2018-06-01 04:07:41,063 [14] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Result From Image =  


2018-06-01 04:07:42,070 [14] INFO  LOL.AcceptQueue.MonitorService PrintWindow IntPtr = 7997990
2018-06-01 04:07:42,096 [14] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Read Image.
2018-06-01 04:07:42,386 [14] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Result From Image =  


2018-06-01 04:07:43,398 [14] INFO  LOL.AcceptQueue.MonitorService PrintWindow IntPtr = 7997990
2018-06-01 04:07:43,423 [14] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Read Image.
2018-06-01 04:07:43,733 [14] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Result From Image =  


2018-06-01 04:07:44,736 [14] INFO  LOL.AcceptQueue.MonitorService PrintWindow IntPtr = 7997990
2018-06-01 04:07:44,753 [14] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Read Image.
2018-06-01 04:07:45,064 [14] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Result From Image =  


2018-06-01 04:07:46,078 [14] INFO  LOL.AcceptQueue.MonitorService PrintWindow IntPtr = 7997990
2018-06-01 04:07:46,097 [14] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Read Image.
2018-06-01 04:07:46,468 [14] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Result From Image = 
2018-06-01 04:07:47,482 [14] INFO  LOL.AcceptQueue.MonitorService PrintWindow IntPtr = 7997990
2018-06-01 04:07:47,499 [14] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Read Image.
2018-06-01 04:07:57,927 [9] INFO  LOL.AcceptQueue.MonitorService PrintWindow IntPtr = 7997990
2018-06-01 04:07:57,956 [9] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Read Image.
2018-06-01 04:08:00,458 [9] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Result From Image = Km l:

0 Limited- Time!

CURSE OF THE I

; K? 0 U
' ' new Butchel’s Budge mm me Eluodhalbm le


2018-06-01 04:08:01,477 [6] INFO  LOL.AcceptQueue.MonitorService PrintWindow IntPtr = 7997990
2018-06-01 04:08:01,494 [6] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Read Image.
2018-06-01 04:08:04,280 [6] DEBUG LOL.AcceptQueue.MonitorService MontiorFunctions - Result From Image = war I

O Umimd—Tml

CURSE OF THE I

  

w

